,,,MSE,hits@10,within factor of 2,,,
,,tree_all,8303.93,7,0.806,,Tue,0.043698
,,tree_1,10508.93,6.3,0.837,,Sun,0.012885
,,tree_2,8815.51,7,0.81,,Length,0.092312
,,tree_3,8495.39,7.2,0.804,,,
,,NN_all,6534.32,7,0.817,,,
,,NN_trans,5803,6.6,0.853,,,
,,NB_all,26967.76,1.4,0.783,,,
,,NB_1,17459.06,4.9,0.628,,,
VarImp,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0.00410607,,,,,,,,
0.01405855,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0.01653615,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0.01339095,,,,,,,,
0.00736011,,,,,,,,
0.00676928,,,,,,,,
0,,,,,,,,
0.00271248,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0.0414048,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0.43153809,,,,,,,,
0,,,,,,,,
0.02499559,,,,,,,,
0,,,,,,,,
0.2947158,,,,,,,,
0,,,,,,,,
0.14241211,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
