comm24,baseTime,shares,output
0,65,2,0
0,10,1,0
0,14,2,0
0,62,1,0
0,58,5,0
0,60,1,0
0,68,2,0
0,32,2,0
0,35,5,0
0,48,1,0
0,52,1,0
0,69,4,0
0,3,4,3
1,37,1,0
0,23,1,0
0,40,4,0
0,54,2,0
0,29,1,0
0,36,2,0
0,11,2,0
0,62,1,0
46,31,19,5
0,54,1,0
0,69,4,0
0,71,1,0
0,61,1,0
4,13,2,2
3,49,1,0
1,35,1,0
2,11,1,0
0,37,1,0
0,0,2,15
2,11,4,0
0,43,2,0
2,18,4,0
0,64,3,0
0,51,1,0
0,67,28,0
8,12,13,2
0,31,5,0
1,38,17,0
0,66,2,0
0,24,3,0
1,47,1,0
0,26,2,0
0,44,1,0
3,60,14,2
0,49,1,0
0,33,1,0
0,1,2,0
2,7,1,0
0,54,13,0
1,46,7,0
4,40,30,0
0,67,3,0
0,54,1,0
0,39,1,0
0,4,3,2
0,56,4,1
0,46,4,0
0,41,2,0
35,30,37,3
11,49,12,0
0,42,3,1
0,58,2,0
0,57,2,0
3,18,15,3
0,39,12,1
0,22,1,1
1,11,1,0
1,17,2,0
0,31,2,0
1,38,2,0
6,46,23,0
0,12,2,0
0,58,2,0
0,3,2,0
1,1,1,2
0,4,1,2
0,54,4,0
0,67,2,0
0,50,5,0
0,39,1,0
1,35,1,0
0,70,5,0
1,4,3,0
0,19,1,0
0,44,33,0
0,59,4,0
0,43,2,0
0,59,1,0
0,29,1,0
4,23,2,1
1,29,3,2
1,68,1,0
0,50,3,0
0,67,1,0
0,37,1,1
3,32,4,0
12,29,4,0
0,46,2,1
0,43,3,0
7,40,1,3
0,10,5,0
0,39,1,0
0,50,3,0
0,24,1,1
0,57,2,0
0,42,6,1
11,36,21,9
0,3,1,0
1,16,3,0
0,42,1,0
0,14,1,0
0,50,3,0
0,35,1,0
6,1,3,2
0,44,2,0
2,19,2,0
0,17,4,0
7,27,3,3
0,62,2,0
806,18,33,342
1,69,4,0
1,33,1,0
