comm24,hrs,output
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,3
1,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
46,24,5
0,24,0
0,24,0
0,24,0
0,24,0
4,24,2
3,24,0
1,24,0
2,24,0
0,24,0
0,24,15
2,24,0
0,24,0
2,24,0
0,24,0
0,24,0
0,24,0
8,24,2
0,24,0
1,24,0
0,24,0
0,24,0
1,24,0
0,24,0
0,24,0
3,24,2
0,24,0
0,24,0
0,24,0
2,24,0
0,24,0
1,24,0
4,24,0
0,24,0
0,24,0
0,24,0
0,24,2
0,24,1
0,24,0
0,24,0
35,24,3
11,24,0
0,24,1
0,24,0
0,24,0
3,24,3
0,24,1
0,24,1
1,24,0
1,24,0
0,24,0
1,24,0
6,24,0
0,24,0
0,24,0
0,24,0
1,24,2
0,24,2
0,24,0
0,24,0
0,24,0
0,24,0
1,24,0
0,24,0
1,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
4,24,1
1,24,2
1,24,0
0,24,0
0,24,0
0,24,1
3,24,0
12,24,0
0,24,1
0,24,0
7,24,3
0,24,0
0,24,0
0,24,0
0,24,1
0,24,0
0,24,1
11,24,9
0,24,0
1,24,0
0,24,0
0,24,0
0,24,0
0,24,0
6,24,2
0,24,0
2,24,0
0,24,0
7,24,3
0,24,0
806,24,342
1,24,0
1,24,0
4,24,0
0,24,0
1,24,1
0,24,0
0,24,0
0,24,0
3,24,0
2,24,0
0,24,0
235,24,35
462,24,92
415,24,51
339,24,119
5,24,2
54,24,7
426,24,71
144,24,14
68,24,8
198,24,30
24,24,2
48,24,3
15,24,4
32,24,10
13,24,7
992,24,409
121,24,28
515,24,372
55,24,23
311,24,102
115,24,26
881,24,431
32,24,4
13,24,1
89,24,6
200,24,145
17,24,7
24,24,4
188,24,90
587,24,760
162,24,57
752,24,501
67,24,6
79,24,15
473,24,56
143,24,31
302,24,642
241,24,43
835,24,320
285,24,55
35,24,7
745,24,128
782,24,233
62,24,20
235,24,53
620,24,53
480,24,280
1240,24,200
177,24,94
51,24,11
536,24,161
148,24,58
2,24,3
109,24,8
1345,24,187
7,24,1
27,24,4
55,24,17
11,24,2
1,24,0
147,24,206
124,24,173
120,24,34
115,24,189
31,24,3
363,24,91
19,24,1
496,24,105
360,24,49
211,24,64
16,24,3
5,24,2
35,24,2
318,24,48
103,24,25
61,17,18
59,18,13
518,24,156
2,24,0
0,24,0
17,24,2
0,24,0
7,24,3
0,24,35
0,24,0
37,24,6
31,24,0
0,24,0
0,24,0
0,24,1
0,24,0
60,24,27
0,24,0
19,24,8
18,24,1
6,24,2
6,24,4
7,24,21
5,24,1
0,24,0
0,24,0
0,24,1
2,24,0
3,24,2
0,24,0
0,24,0
0,24,0
63,24,12
0,24,3
88,24,9
0,24,0
0,24,0
0,24,0
12,24,4
43,24,8
9,24,2
13,24,2
1,24,0
5,24,1
0,24,0
16,24,0
1,24,0
0,24,0
20,24,3
16,24,1
0,24,0
4,24,0
