comm24,baseTime,hrs,output
0,65,24,0
0,10,24,0
0,14,24,0
0,62,24,0
0,58,24,0
0,60,24,0
0,68,24,0
0,32,24,0
0,35,24,0
0,48,24,0
0,52,24,0
0,69,24,0
0,3,24,3
1,37,24,0
0,23,24,0
0,40,24,0
0,54,24,0
0,29,24,0
0,36,24,0
0,11,24,0
0,62,24,0
46,31,24,5
0,54,24,0
0,69,24,0
0,71,24,0
0,61,24,0
4,13,24,2
3,49,24,0
1,35,24,0
2,11,24,0
0,37,24,0
0,0,24,15
2,11,24,0
0,43,24,0
2,18,24,0
0,64,24,0
0,51,24,0
0,67,24,0
8,12,24,2
0,31,24,0
1,38,24,0
0,66,24,0
0,24,24,0
1,47,24,0
0,26,24,0
0,44,24,0
3,60,24,2
0,49,24,0
0,33,24,0
0,1,24,0
2,7,24,0
0,54,24,0
1,46,24,0
4,40,24,0
0,67,24,0
0,54,24,0
0,39,24,0
0,4,24,2
0,56,24,1
0,46,24,0
0,41,24,0
35,30,24,3
11,49,24,0
0,42,24,1
0,58,24,0
0,57,24,0
3,18,24,3
0,39,24,1
0,22,24,1
1,11,24,0
1,17,24,0
0,31,24,0
1,38,24,0
6,46,24,0
0,12,24,0
0,58,24,0
0,3,24,0
1,1,24,2
0,4,24,2
0,54,24,0
0,67,24,0
0,50,24,0
0,39,24,0
1,35,24,0
0,70,24,0
1,4,24,0
0,19,24,0
0,44,24,0
0,59,24,0
0,43,24,0
0,59,24,0
0,29,24,0
4,23,24,1
1,29,24,2
1,68,24,0
0,50,24,0
0,67,24,0
0,37,24,1
3,32,24,0
12,29,24,0
0,46,24,1
0,43,24,0
7,40,24,3
0,10,24,0
0,39,24,0
0,50,24,0
0,24,24,1
0,57,24,0
0,42,24,1
11,36,24,9
0,3,24,0
1,16,24,0
0,42,24,0
0,14,24,0
0,50,24,0
0,35,24,0
6,1,24,2
0,44,24,0
2,19,24,0
0,17,24,0
7,27,24,3
0,62,24,0
806,18,24,342
1,69,24,0
1,33,24,0
4,66,24,0
0,47,24,0
1,11,24,1
0,48,24,0
0,38,24,0
0,65,24,0
3,2,24,0
2,32,24,0
0,23,24,0
235,42,24,35
462,17,24,92
415,41,24,51
339,15,24,119
5,70,24,2
54,35,24,7
426,28,24,71
144,33,24,14
68,49,24,8
198,17,24,30
24,52,24,2
48,44,24,3
15,68,24,4
32,42,24,10
13,54,24,7
992,16,24,409
121,59,24,28
515,3,24,372
55,44,24,23
311,13,24,102
115,27,24,26
881,10,24,431
32,51,24,4
13,63,24,1
89,66,24,6
200,5,24,145
17,65,24,7
24,58,24,4
188,8,24,90
587,2,24,760
162,38,24,57
752,8,24,501
67,46,24,6
79,36,24,15
473,21,24,56
143,29,24,31
302,1,24,642
241,48,24,43
835,8,24,320
285,33,24,55
35,35,24,7
745,20,24,128
782,16,24,233
62,42,24,20
235,10,24,53
620,24,24,53
480,4,24,280
1240,21,24,200
177,6,24,94
51,38,24,11
536,30,24,161
148,46,24,58
2,60,24,3
109,23,24,8
1345,12,24,187
7,66,24,1
27,34,24,4
55,45,24,17
11,72,24,2
1,56,24,0
147,3,24,206
124,2,24,173
120,41,24,34
115,1,24,189
31,56,24,3
363,19,24,91
19,63,24,1
496,32,24,105
360,24,24,49
211,50,24,64
16,69,24,3
5,69,24,2
35,54,24,2
318,20,24,48
103,31,24,25
61,56,17,18
59,43,18,13
518,13,24,156
2,28,24,0
0,60,24,0
17,49,24,2
0,58,24,0
7,20,24,3
0,0,24,35
0,50,24,0
37,9,24,6
31,60,24,0
0,19,24,0
0,68,24,0
0,15,24,1
0,69,24,0
60,3,24,27
0,27,24,0
19,12,24,8
18,21,24,1
6,24,24,2
6,14,24,4
7,6,24,21
5,10,24,1
0,44,24,0
0,65,24,0
0,35,24,1
2,27,24,0
3,14,24,2
0,55,24,0
0,52,24,0
0,53,24,0
63,50,24,12
0,66,24,3
88,50,24,9
0,27,24,0
0,2,24,0
0,68,24,0
12,25,24,4
43,37,24,8
9,17,24,2
13,71,24,2
1,42,24,0
5,27,24,1
0,57,24,0
16,17,24,0
1,62,24,0
0,53,24,0
20,18,24,3
16,66,24,1
0,53,24,0
4,6,24,0
0,39,24,0
0,46,24,0
6,49,24,2
4,4,24,44
0,61,24,0
0,27,24,0
0,55,24,0
66,5,24,23
4,36,24,1
0,34,24,0
3,18,24,0
2,19,24,1
8,45,24,1
93,38,24,14
20,58,24,2
4,66,24,1
0,5,24,0
0,51,24,0
347,10,24,85
2,59,24,1
0,63,24,0
6,17,24,0
2,29,24,0
548,22,24,174
739,26,24,223
59,20,24,2
0,51,24,0
0,56,24,0
3,11,24,2
0,22,24,0
2,66,24,0
49,8,24,18
352,16,24,111
2,10,24,0
4,4,24,2
591,15,24,380
24,16,24,8
5,49,24,3
0,22,24,0
310,5,24,253
0,36,24,0
39,20,24,4
13,23,24,4
32,30,24,5
0,64,6,0
0,47,22,0
14,26,24,2
4,22,24,0
2,8,24,0
28,6,24,8
0,57,8,0
2,1,24,1
1,62,3,0
0,32,24,0
0,40,23,0
5,8,24,3
23,31,24,4
2,57,4,0
2,4,24,1
120,3,24,107
427,3,24,380
0,11,24,0
2,19,24,0
4,39,9,0
131,22,24,21
3,12,24,0
205,1,24,756
0,0,24,2
0,17,24,0
9,11,24,2
0,13,24,2
181,15,24,39
3,39,1,0
0,3,24,0
35,9,24,9
604,15,21,323
10,34,24,4
1,69,24,0
3,52,24,1
0,70,24,0
0,43,24,0
0,48,24,0
0,42,24,0
0,9,24,0
0,4,24,0
0,31,24,0
0,31,24,0
0,0,24,4
353,9,24,278
88,17,24,21
150,20,24,16
3,60,24,3
10,30,24,0
149,18,24,19
2,72,24,0
39,25,24,4
0,0,24,96
2,65,24,5
5,52,24,2
534,26,24,64
3,70,24,4
0,63,24,5
129,11,24,57
62,20,24,10
18,40,24,4
98,43,24,17
39,23,24,9
18,39,24,1
40,35,24,3
20,50,24,7
387,14,24,66
3,59,24,0
5,55,24,0
18,59,24,7
191,24,24,10
10,42,24,2
15,44,24,4
4,54,24,1
63,6,24,30
7,39,24,6
12,53,24,1
