comm24,baseTime,shares,hrs,output
0,65,2,24,0
0,10,1,24,0
0,14,2,24,0
0,62,1,24,0
0,58,5,24,0
0,60,1,24,0
0,68,2,24,0
0,32,2,24,0
0,35,5,24,0
0,48,1,24,0
0,52,1,24,0
0,69,4,24,0
0,3,4,24,3
1,37,1,24,0
0,23,1,24,0
0,40,4,24,0
0,54,2,24,0
0,29,1,24,0
0,36,2,24,0
0,11,2,24,0
0,62,1,24,0
46,31,19,24,5
0,54,1,24,0
0,69,4,24,0
0,71,1,24,0
0,61,1,24,0
4,13,2,24,2
3,49,1,24,0
1,35,1,24,0
2,11,1,24,0
0,37,1,24,0
0,0,2,24,15
2,11,4,24,0
0,43,2,24,0
2,18,4,24,0
0,64,3,24,0
0,51,1,24,0
0,67,28,24,0
8,12,13,24,2
0,31,5,24,0
1,38,17,24,0
0,66,2,24,0
0,24,3,24,0
1,47,1,24,0
0,26,2,24,0
0,44,1,24,0
3,60,14,24,2
0,49,1,24,0
0,33,1,24,0
0,1,2,24,0
2,7,1,24,0
0,54,13,24,0
1,46,7,24,0
4,40,30,24,0
0,67,3,24,0
0,54,1,24,0
0,39,1,24,0
0,4,3,24,2
0,56,4,24,1
0,46,4,24,0
0,41,2,24,0
35,30,37,24,3
11,49,12,24,0
0,42,3,24,1
0,58,2,24,0
0,57,2,24,0
3,18,15,24,3
0,39,12,24,1
0,22,1,24,1
1,11,1,24,0
1,17,2,24,0
0,31,2,24,0
1,38,2,24,0
6,46,23,24,0
0,12,2,24,0
0,58,2,24,0
0,3,2,24,0
1,1,1,24,2
0,4,1,24,2
0,54,4,24,0
0,67,2,24,0
0,50,5,24,0
0,39,1,24,0
1,35,1,24,0
0,70,5,24,0
1,4,3,24,0
0,19,1,24,0
0,44,33,24,0
0,59,4,24,0
0,43,2,24,0
0,59,1,24,0
0,29,1,24,0
4,23,2,24,1
1,29,3,24,2
1,68,1,24,0
0,50,3,24,0
0,67,1,24,0
0,37,1,24,1
3,32,4,24,0
12,29,4,24,0
0,46,2,24,1
0,43,3,24,0
7,40,1,24,3
0,10,5,24,0
0,39,1,24,0
0,50,3,24,0
0,24,1,24,1
0,57,2,24,0
0,42,6,24,1
11,36,21,24,9
0,3,1,24,0
1,16,3,24,0
0,42,1,24,0
0,14,1,24,0
0,50,3,24,0
0,35,1,24,0
6,1,3,24,2
0,44,2,24,0
2,19,2,24,0
0,17,4,24,0
7,27,3,24,3
0,62,2,24,0
806,18,33,24,342
1,69,4,24,0
1,33,1,24,0
4,66,18,24,0
0,47,1,24,0
1,11,2,24,1
0,48,1,24,0
0,38,2,24,0
0,65,3,24,0
3,2,2,24,0
2,32,2,24,0
0,23,3,24,0
235,42,1197,24,35
462,17,230,24,92
415,41,1367,24,51
339,15,1023,24,119
5,70,523,24,2
54,35,277,24,7
426,28,535,24,71
144,33,204,24,14
68,49,353,24,8
198,17,173,24,30
24,52,383,24,2
48,44,412,24,3
15,68,280,24,4
32,42,222,24,10
13,54,146,24,7
992,16,1972,24,409
121,59,339,24,28
515,3,545,24,372
55,44,206,24,23
311,13,398,24,102
115,27,271,24,26
881,10,4340,24,431
32,51,217,24,4
13,63,154,24,1
89,66,1967,24,6
200,5,412,24,145
